Accession	Stock ID	Sequenced by	Platform	Status	Alt name
Lisse		Salk	Illumina	Released
Litva	CS76543	Salk	Illumina	Released	CS925
Lm_2	CS76545	Salk	Illumina	Released	CS6784
Lp2_2	CS76546	Salk	Illumina	Released	CS22594
Lp2_6	CS28480	Salk	Illumina	Released	CS28480
Mc_0	CS76548	Salk	Illumina	Released	CS1362
Mh_0	CS76550	Salk	Illumina	Released	CS6792
Mir_0	CS76551	Salk	Illumina	Released	CS1378
Mnz_0	CS76552	Salk	Illumina	Released	CS1370
Ms_0	CS76555	Salk	Illumina	Released	CS22655
Mv_0	CS76556	Salk	Illumina	Released	CS1386
Mz_0	CS76557	Salk	Illumina	Released	CS22636
NC_6		Salk	Illumina	Released
NFA_10		Salk	Illumina	Released
NFA_8		Salk	Illumina	Released	CS22598
N13		Salk	Illumina	Released	
Nc_1	CS76559	Salk	Illumina	Released	CS1388
Neo_6	CS76560	Salk	Illumina	Released	540AV
Nok_3	CS76562	Salk	Illumina	Released	CS22643
Np_0	CS76563	Salk	Illumina	Released	CS6806
Nw_0	CS76564	Salk	Illumina	Released	CS6811
Nz_1		Salk	Illumina	Released	CS22661
Ob_0	CS76566	Salk	Illumina	Released	CS6816
Old_1	CS76567	Salk	Illumina	Released	CS1426
Or_0	CS76568	Salk	Illumina	Released	CS6822
Ove_0	CS76569	Salk	Illumina	Released	CS6823
PHW_2	CS28603	Salk	Illumina	Released	CS28603
PHW_34	CS28634	Salk	Illumina	Released	CS28634
Per_1	CS76571	Salk	Illumina	Released	CS1444
Pi_0	CS76572	Salk	Illumina	Released	CS6832
Pla_0	CS76573	Salk	Illumina	Released	CS1458
Pna_17	CS76575	Salk	Illumina	Released	CS22570
Pog_0	CS76576	Salk	Illumina	Released	CS6842
Pro_0	CS76577	Salk	Illumina	Released	CS22649
Pt_0		Salk	Illumina	Released	CS6843
Pu2_23	CS76579	Salk	Illumina	Released	CS22593
Pu2_7	CS76580	Salk	Illumina	Released	CS22592
Pu2_8	CS28658	Salk	Illumina	Released	CS28658
